"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18111990124562452,17841475477048339,roove.oficial,Roove,"Roove é sobre o que nos move, e o que nos une. 

#wellness #athleisure",0,"10/20/2025 14:04",https://www.instagram.com/p/DQC6Pq8k7x2/,"Imagem do Instagram",,Total,542,42,15,0,0,5,0
18105857077613157,17841475477048339,roove.oficial,Roove,"O choque é breve, mas o efeito é profundo.
Na água fria, o corpo desacelera por fora para se regenerar por dentro.

A temperatura baixa ativa a circulação, reduz inflamações e convida a mente a estar presente, é o corpo aprendendo a encontrar calma no desconforto.

Um lembrete de que cuidar também é contraste: frio e calor, tensão e relaxamento, esforço e pausa.

#skincareroutine #yoga #yogamom #athleisure",0,"10/22/2025 14:56",https://www.instagram.com/p/DQIJvUVkX2a/,"Imagem do Instagram",,Total,474,42,16,0,0,1,1
18067465109460028,17841475477048339,roove.oficial,Roove,"Um gesto que começa na pele e se espalha. 

Na Roove, o movimento é cuidado. 
#Athleisure #wellness",0,"10/24/2025 15:30",https://www.instagram.com/p/DQNXRIRDqEY/,"Carrossel do Instagram",,Total,485,43,15,0,0,2,0
18071135753262749,17841475477048339,roove.oficial,Roove,"Um nome complicado pra uma ideia simples: viver no ritmo do próprio corpo. 
Com leveza, estilo e propósito.
Na Roove, esse movimento ganha um novo toque: o do cuidado.

#Roove #wellness  #Athleisure #athleisurelife",0,"10/27/2025 16:55",https://www.instagram.com/p/DQVPWa9DsoC/,"Carrossel do Instagram",,Total,497,42,16,0,0,0,0
18080359994037769,17841475477048339,roove.oficial,Roove,"Athleisure não é look de academia. É vestir o equilíbrio entre conforto, estética e propósito. 

#roove #wellness #athleisure",0,"11/03/2025 13:55",https://www.instagram.com/p/DQnDNyzkwFp/,"Carrossel do Instagram",,Total,542,72,16,2,1,0,0
17974990685947573,17841475477048339,roove.oficial,Roove,"Mood de hoje (e sempre)
#Roove #wellness  #Athleisure #Mood 
 #moodboards",0,"11/05/2025 15:25",https://www.instagram.com/p/DQsXF7-DhP8/,"Imagem do Instagram",,Total,682,244,22,9,0,0,0
18326475901213654,17841475477048339,roove.oficial,Roove,"Desafio: fazer os micro rituais diários por uma semana.

#Roove #wellness  #Athleisure",0,"11/11/2025 13:51",https://www.instagram.com/p/DQ7pFhQjsB9/,"Carrossel do Instagram",,Total,386,35,14,0,0,0,0
18078493651916606,17841475477048339,roove.oficial,Roove,"Existem várias formas de cuidar do corpo. 
Buscar uma rotina equilibrada faz parte do auto cuidado que a gente tanto vê falar por aí. 
Nem sempre vamos conseguir dar conta de tudo, o segredo é recomeçar quantas vezes for preciso. 

#Roove #wellness  #Athleisure #Mood",0,"11/17/2025 12:50",https://www.instagram.com/p/DRK-3F7ktOc/,"Carrossel do Instagram",,Total,446,52,15,0,0,1,0
17978703185929308,17841475477048339,roove.oficial,Roove,"Seria um sonho pegar todos né ? 

#Roove #wellness #Athleisure #skincare",0,"11/19/2025 13:30",https://www.instagram.com/p/DRQNBS4Estx/,"Carrossel do Instagram",,Total,400,34,7,0,0,2,0
18068070731094590,17841475477048339,roove.oficial,Roove,"Será que dá tempo de curtir das 3 formas? 
Final de semana chegando e a gente só pensa em descansar.

#roove #wellness #athleisure",5,"11/21/2025 15:24",https://www.instagram.com/reel/DRVjhCDESzR/,"Reel do Instagram",,Total,104,45,13,0,0,3,1
17961233003990699,17841475477048339,roove.oficial,Roove,"A gente ama glow. E não, não estamos falando da pele do rosto.

#roove #ᴀᴜᴛᴏᴄᴜɪᴅᴀᴅᴏ #skincare #skinwear",0,"11/24/2025 13:37",https://www.instagram.com/p/DRdFzNREpMY/,"Carrossel do Instagram",,Total,396,34,17,5,0,3,0
18088276615780891,17841475477048339,roove.oficial,Roove,"Dentro dessa necessaire só tem o essencial rs! 

Se identificou com algum? Compartilha! ⬆️",0,"11/26/2025 13:06",https://www.instagram.com/p/DRiL6m6kg-p/,"Carrossel do Instagram",,Total,852,363,11,8,0,1,0
18048910205676556,17841475477048339,roove.oficial,Roove,"Se cuidar é a melhor terapia

#Roove #athleisure #wellness #athleisurelife #skincare",9,"11/28/2025 13:33",https://www.instagram.com/reel/DRnYd2bEjny/,"Reel do Instagram",,Total,345,235,12,10,0,0,0
17981535836942639,17841475477048339,roove.oficial,Roove,"O que a pele conta, a Roove cuida.

#athleisure #skincare #skinwear",0,"12/09/2025 14:31",https://www.instagram.com/p/DSDz65Kkjif/,"Imagem do Instagram",,Total,326,26,5,0,0,4,0
18067966532382858,17841475477048339,roove.oficial,Roove,"O skincare deixou de ser só rotina e virou tecnologia aplicada ao autocuidado.

Comenta “SKINCARE”, se quer ser o primeiro a saber da novidade.",0,"12/15/2025 10:00",https://www.instagram.com/p/DSSxp7hkat9/,"Carrossel do Instagram",,Total,1723,4957,69,0,15,28,3
18078804569266125,17841475477048339,roove.oficial,Roove,"O autocuidado está prestes a ganhar companhia.
Em breve, um novo jeito de se cuidar.

#Roove #ᴀᴜᴛᴏᴄᴜɪᴅᴀᴅᴏ #athleisure",0,"12/17/2025 14:00",https://www.instagram.com/p/DSYWyD_Evss/,"Imagem do Instagram",,Total,221,27,9,0,0,0,0
18085420958020701,17841475477048339,roove.oficial,Roove,"Quando o corpo vira território de presença, cada detalhe vira linguagem.

#Roove #autocuidado",0,"12/19/2025 14:00",https://www.instagram.com/p/DSdgT-UknoE/,"Imagem do Instagram",,Total,184,27,11,1,0,0,1
18054388778359662,17841475477048339,roove.oficial,Roove,"Cuidar é um compromisso diário com o futuro.

Pequenos gestos que protegem, fortalecem e revelam o melhor da pele.

#Roove #ᴀᴜᴛᴏᴄᴜɪᴅᴀᴅᴏ #lifestyle",0,"12/22/2025 12:50",https://www.instagram.com/p/DSlGyRNkUGl/,"Imagem do Instagram",,Total,66,23,5,0,0,0,0
18092186692949156,17841475477048339,roove.oficial,Roove,"Não é apenas um checklist.
É um lembrete gentil de que viver bem também é um hábito!

#ᴀᴜᴛᴏᴄᴜɪᴅᴀᴅᴏ #Roove",0,"12/27/2025 13:00",https://www.instagram.com/p/DSx_5i_EtnL/,"Carrossel do Instagram",,Total,57,14,11,0,0,0,0
17969232536841338,17841475477048339,roove.oficial,Roove,"Menos ruído.
Mais cuidado.

#Roove #athleisure #skinwear",0,"12/30/2025 14:16",https://www.instagram.com/p/DS526A4kpy_/,"Carrossel do Instagram",,Total,45,13,7,0,0,0,0
17905769556126831,17841475477048339,roove.oficial,Roove,"Roove.
Para quem se veste de cuidado.

#lifestyle #athleisure #roove",0,"10/20/2025 14:01",https://www.instagram.com/p/DQC56nJCFxX/,"Imagem do Instagram",,Total,503,47,15,0,0,6,0
18506999554066804,17841475477048339,roove.oficial,Roove,"Para quem joga bonito até fora da quadra. 

#athleisure #wellness #wellnesslifestyle",0,"10/20/2025 14:02",https://www.instagram.com/p/DQC6DolFGcd/,"Imagem do Instagram",,Total,545,48,15,2,1,6,0
